Победа	Где играет	Соперник	Температура	Дождь
Да	Дома	Выше	Норма	Нет
Да	Дома	Ниже	Низкая	Нет
Нет	Дома	Выше	Низкая	Нет
Нет	Дома	Выше	Высокая	Да
Нет	Дома	Ниже	Высокая	Да
Да	Дома	Ниже	Норма	Да
Нет	Дома	Выше	Высокая	Нет
Да	Дома	Ниже	Высокая	Нет
Нет	В гостях	Ниже	Высокая	Да
Да	В гостях	Выше	Низкая	Да
Да	В гостях	Ниже	Низкая	Да
Да	В гостях	Выше	Норма	Да
Нет	В гостях	Выше	Высокая	Да
Да	В гостях	Ниже	Высокая	Нет
Да	В гостях	Выше	Высокая	Нет
Да	В гостях	Ниже	Норма	Нет
Нет	В гостях	Выше	Низкая	Нет
Да	В гостях	Ниже	Низкая	Нет
